Date,AIG,AXP,AAPL,BA,CAT,CSCO,CVX,XOM,GE,HD,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,VZ,WMT,DIS,DWDP,T,AA,HPQ,C,MO,HON,IP
1993-01-22,237.037033,3.144649,0.477674,9.950931,2.330164,1.040949,4.104035,3.693825,1.445352,6.928762,6.33183,1.898009,4.790279,3.533557,4.276804,6.889144,8.674668,7.730601,2.052327,0.156759,1.016104,4.617165,7.624412,3.300831,1.317883,5.62803,10.350857,10.254036,4.009083,5.145462,13.835601,0.846535,36.423637,1.023408,7.560257,13.927466
1993-01-25,243.09465,3.083289,0.481688,10.157522,2.309077,1.05366,4.240332,3.852702,1.456058,7.021675,6.364383,1.919287,4.698912,3.598197,4.236586,6.924746,8.863248,7.525363,2.032235,0.156759,1.002981,4.709049,7.575536,3.39907,1.321351,5.562282,10.681428,10.05127,4.009083,5.145462,14.017017,0.849419,36.683811,1.030491,7.62571,14.038436
1993-01-26,241.777771,2.929892,0.487709,9.778769,2.372339,1.038124,4.285765,3.892418,1.4582,6.968578,6.380663,2.00382,4.555334,3.630517,4.317027,6.871341,8.752316,7.206101,2.020754,0.156996,0.976735,4.594194,7.404475,3.327028,1.317883,5.522832,10.578115,10.688529,4.046992,5.074852,14.017017,0.847977,36.770538,1.041115,7.838451,14.149413
1993-01-27,244.674896,2.822514,0.483695,9.537744,2.403969,1.008463,4.308481,3.844756,1.449635,6.835848,6.462045,1.973161,4.620594,3.576652,4.477912,6.817939,8.652486,7.342928,1.980568,0.153671,0.984234,4.559736,7.46557,3.248436,1.293606,5.496534,10.640105,10.543698,4.046992,5.074852,14.245774,0.826346,36.943993,1.044656,7.772991,14.204897
1993-01-28,247.835388,2.745816,0.480684,9.709904,2.372339,0.990102,4.391772,3.91625,1.464623,6.796024,6.543431,1.909651,4.581438,3.555106,4.343839,6.942549,8.685758,7.388533,1.997789,0.153909,0.991732,4.571222,7.46557,3.340126,1.283201,5.483383,10.702087,10.659563,3.999604,5.030724,14.624402,0.820577,37.377625,1.060591,7.674807,14.482336
1993-01-29,249.679016,2.853193,0.477674,9.709904,2.367067,0.999989,4.406918,3.884473,1.475329,6.915487,6.706206,1.870231,4.594491,3.652063,4.357247,6.924746,8.696853,7.36573,1.986308,0.155096,0.989858,4.571222,7.526667,3.379422,1.300543,5.430786,10.764059,10.572662,4.028037,4.863034,14.640173,0.830671,36.857273,1.05882,7.543896,14.315883
1993-02-01,251.786011,3.02193,0.491723,9.916497,2.361794,1.025412,4.475064,3.908305,1.477471,7.074769,6.8527,1.949071,4.594491,3.705927,4.397469,7.013753,8.763411,7.092083,2.009272,0.159847,0.989858,4.617165,7.648849,3.418718,1.328288,5.522832,10.888024,10.572662,4.046992,4.960118,14.489487,0.842209,37.551071,1.074756,7.642076,14.121669
1993-02-02,257.316864,3.02193,0.483695,9.882068,2.393426,1.046598,4.482637,3.955968,1.456058,7.048218,6.787591,1.949071,4.542279,3.630517,4.410874,7.156167,8.774508,6.864038,2.043716,0.161034,0.946739,4.594194,7.722157,3.471112,1.297074,5.575429,10.950007,10.804392,4.103858,5.013072,14.568799,0.834998,38.434219,1.069444,7.723897,14.038436
1993-02-03,265.218109,3.052611,0.481688,9.8132,2.456688,1.042361,4.520498,3.971855,1.475329,7.074769,6.657373,1.907462,4.725016,3.608971,4.464504,7.138363,8.9409,7.137688,2.029364,0.163409,0.963611,4.651619,7.844343,3.444914,1.352563,5.667478,11.053317,11.036121,4.075426,5.013072,14.671897,0.820577,39.651581,1.067673,8.100278,14.510086
1993-02-04,267.58847,3.052611,0.477674,9.641039,2.488319,1.032474,4.758888,4.130413,1.483895,7.08804,6.98504,1.914031,4.764174,3.598197,4.518131,7.351982,9.251501,6.93245,1.951864,0.166735,0.965486,4.67459,8.076499,3.49076,1.37684,5.61488,11.011992,11.007154,4.160725,4.99542,15.068438,0.803271,40.781986,1.062362,8.558474,15.175949
1993-02-05,264.164612,3.067949,0.459611,9.8132,2.504136,1.002813,4.766835,4.122083,1.488177,6.995122,7.07002,1.872422,4.698912,3.555106,4.598571,7.262977,9.650846,7.000869,2.043716,0.161509,0.948613,4.720533,8.039844,3.39907,1.3595,5.562282,10.888024,10.978189,4.369235,4.942462,15.346019,0.790292,39.129864,1.065903,8.640289,15.370142
1993-02-08,261.267487,3.09863,0.453589,9.883046,2.46196,0.994339,4.830393,4.188704,1.486036,6.8093,7.188986,1.859281,4.685859,3.544332,4.585167,7.191769,9.673028,7.023671,1.969086,0.155571,1.014451,4.800931,8.137591,3.39252,1.314415,5.549132,10.846707,10.978189,4.454536,4.915987,15.131878,0.781639,39.47765,1.055279,8.443923,15.342402
1993-02-09,264.954742,3.052611,0.4566,9.848126,2.430328,0.968915,4.814504,4.16372,1.483895,6.769474,7.256966,1.935931,4.757284,3.512012,4.544946,7.084958,9.673028,7.137688,1.926031,0.154859,1.00834,4.754989,8.088718,3.379422,1.314415,5.588578,10.805387,10.746462,4.397669,4.863034,14.901891,0.777312,38.608097,1.037573,8.280277,15.037223
1993-02-10,266.79834,3.052611,0.447568,9.77828,2.382882,0.994339,4.838339,4.155393,1.486036,6.8093,7.104008,2.006009,4.850566,3.490468,4.544946,7.156167,9.695218,7.342928,1.963345,0.153909,1.020562,4.754989,8.052059,3.412168,1.258925,5.641179,10.681428,10.833359,4.378715,4.898339,14.870169,0.787408,39.216801,1.044656,8.411196,15.064965
1993-02-11,263.901245,3.067949,0.442551,9.603668,2.425056,0.988689,4.878061,4.155393,1.479613,6.849119,6.951052,1.968781,4.797262,3.50124,4.558352,7.120564,9.562103,7.434145,1.957604,0.156759,1.049081,4.800931,8.015406,3.241887,1.258925,5.654326,10.557458,10.891288,4.445057,4.924815,14.886033,0.793176,39.47765,1.041115,8.754844,15.148195
1993-02-12,259.160492,3.02193,0.46059,9.603668,2.414512,0.975978,4.774782,4.113755,1.456058,6.782752,6.900064,1.944691,4.797262,3.490468,4.491317,7.067158,9.517731,7.36573,1.92029,0.156046,1.047044,4.67459,7.917656,2.927523,1.251989,5.693776,10.578115,10.891288,4.416625,4.99542,14.671897,0.79606,38.955917,1.032261,8.610433,15.367729
